ind,ab_trt,temp_trt,size_begin,size_end
4,NONE,11C,1.188,3.604
5,NONE,11C,1.006,3.395
6,NONE,11C,0.968,3.417
7,NONE,11C,1.001,3.736
8,NONE,11C,1.251,3.207
9,NONE,11C,1.506,2.795
10,NONE,11C,1.209,3.43
11,NONE,11C,0.987,2.764
12,NONE,11C,1.359,3.136
14,NONE,11C,0.909,3.389
15,NONE,11C,0.943,2.215
16,NONE,11C,1.162,3.274
17,NONE,11C,1.26,2.81
18,NONE,11C,1.174,3.296
19,NONE,11C,1.214,3.578
20,NONE,11C,0.885,3.071
21,NONE,11C,1.324,2.479
22,NONE,11C,1.458,2.807
23,NONE,11C,1.111,2.526
24,NONE,11C,1,2.894
25,NONE,11C,0.885,3.418
26,NONE,11C,0.931,3.039
27,NONE,11C,0.912,3.163
28,NONE,11C,1.248,3.223
29,NONE,11C,1.237,2.94
31,NONE,11C,0.997,3.21
32,NONE,11C,0.995,2.92
33,NONE,11C,0.955,2.942
34,NONE,11C,1.121,3.156
35,NONE,11C,0.963,2.994
36,NONE,11C,0.89,3.14
37,NONE,11C,0.902,3.123
38,NONE,11C,0.929,3.28
39,NONE,11C,0.906,3.099
40,NONE,11C,0.992,3.276
41,NONE,11C,0.962,3.696
42,NONE,11C,0.97,1.637
43,NONE,11C,1.234,3.408
44,NONE,11C,0.969,3.265
45,NONE,11C,0.968,3.803
46,NONE,11C,0.975,2.552
47,NONE,11C,0.95,3.216
48,NONE,11C,0.992,4.113
1,ERY,19C,0.921,3.695
2,ERY,19C,0.922,3.762
3,ERY,19C,0.966,3.456
4,ERY,19C,1.029,3.792
5,ERY,19C,1.35,3.712
6,ERY,19C,0.962,3.014
7,ERY,19C,1.004,3.91
8,ERY,19C,0.921,3.788
9,ERY,19C,0.892,3.891
10,ERY,19C,0.924,4.039
11,ERY,19C,0.997,3.8
12,ERY,19C,1.019,3.922
13,ERY,19C,1.239,3.741
15,ERY,19C,1.227,3.786
16,ERY,19C,0.915,3.534
17,ERY,19C,1.453,3.729
18,ERY,19C,0.99,3.692
19,ERY,19C,0.932,3.8
20,ERY,19C,0.985,3.987
21,ERY,19C,0.989,3.629
22,ERY,19C,0.899,3.424
23,ERY,19C,0.923,3.818
24,ERY,19C,0.97,3.675
25,ERY,19C,0.876,3.793
26,ERY,19C,0.99,3.679
27,ERY,19C,0.987,3.554
28,ERY,19C,0.932,3.648
29,ERY,19C,0.965,3.585
30,ERY,19C,0.835,3.849
31,ERY,19C,0.92,3.889
32,ERY,19C,0.939,3.666
33,ERY,19C,0.909,3.666
34,ERY,19C,0.889,3.592
36,ERY,19C,0.882,3.863
37,ERY,19C,0.937,3.817
38,ERY,19C,0.841,3.626
39,ERY,19C,1.234,3.875
40,ERY,19C,1.031,3.845
41,ERY,19C,0.91,3.585
42,ERY,19C,0.89,3.755
43,ERY,19C,0.898,3.637
44,ERY,19C,0.883,3.864
45,ERY,19C,0.927,3.886
46,ERY,19C,0.972,3.874
47,ERY,19C,0.961,3.574
48,ERY,19C,1.748,3.747
25,AZT,11C,0.867,2.979
26,AZT,11C,1.293,3.838
27,AZT,11C,0.914,3.144
28,AZT,11C,1.385,3.144
29,AZT,11C,0.972,3.205
30,AZT,11C,1.75,3.128
31,AZT,11C,1.282,3.272
32,AZT,11C,0.946,3.528
33,AZT,11C,0.815,3.334
34,AZT,11C,1.451,3.45
35,AZT,11C,0.987,2.972
36,AZT,11C,1.208,3.38
37,AZT,11C,0.993,3.583
38,AZT,11C,1.463,3.576
39,AZT,11C,1.163,3.333
40,AZT,11C,1.018,3.251
41,AZT,11C,0.922,3.084
42,AZT,11C,0.89,3.006
43,AZT,11C,1.49,3.389
44,AZT,11C,0.955,2.964
45,AZT,11C,1.873,3.131
46,AZT,11C,1.301,3.69
47,AZT,11C,1.038,3.263
48,AZT,11C,0.942,3.79
1,SFX,19C,1.211,3.862
2,SFX,19C,1.276,3.697
3,SFX,19C,1.269,3.853
4,SFX,19C,1.734,3.902
5,SFX,19C,1.069,3.72
7,SFX,19C,1.236,3.492
8,SFX,19C,1.013,3.812
9,SFX,19C,1.442,3.625
10,SFX,19C,0.913,3.719
11,SFX,19C,1.145,3.439
12,SFX,19C,1.278,3.816
13,SFX,19C,0.989,3.796
14,SFX,19C,1.011,4.021
16,SFX,19C,1.455,3.617
17,SFX,19C,1.198,3.794
18,SFX,19C,1.444,3.73
19,SFX,19C,0.968,3.299
20,SFX,19C,1.321,3.984
21,SFX,19C,1.477,3.843
22,SFX,19C,1.291,3.829
23,SFX,19C,1.171,3.68
25,SFX,19C,0.865,3.67
26,SFX,19C,1.013,3.542
27,SFX,19C,1.22,2.478
28,SFX,19C,1.021,3.669
29,SFX,19C,0.892,3.746
31,SFX,19C,1.266,3.537
32,SFX,19C,0.941,3.501
34,SFX,19C,0.995,3.451
35,SFX,19C,1.267,3.642
36,SFX,19C,1.032,3.791
37,SFX,19C,1.247,3.435
38,SFX,19C,1.015,3.772
41,SFX,19C,1.022,3.629
42,SFX,19C,0.865,3.855
43,SFX,19C,1.213,3.662
44,SFX,19C,0.822,3.626
45,SFX,19C,0.911,3.442
46,SFX,19C,0.986,3.594
47,SFX,19C,1.206,3.416
1,ERY,11C,1.223,2.942
2,ERY,11C,1.156,2.776
3,ERY,11C,1.154,2.863
4,ERY,11C,0.951,3.136
5,ERY,11C,1.011,3.139
6,ERY,11C,1.199,3.137
7,ERY,11C,0.996,3.228
8,ERY,11C,1.416,3.101
9,ERY,11C,0.982,2.71
10,ERY,11C,0.942,3.416
11,ERY,11C,0.849,3.206
12,ERY,11C,1.082,3.463
13,ERY,11C,0.955,3.469
15,ERY,11C,0.946,2.969
16,ERY,11C,0.932,3.554
17,ERY,11C,0.958,3.522
18,ERY,11C,0.974,2.904
19,ERY,11C,0.862,3.043
20,ERY,11C,1.031,2.955
21,ERY,11C,0.936,2.816
22,ERY,11C,1.108,2.872
23,ERY,11C,0.813,2.524
24,ERY,11C,0.883,2.891
25,ERY,11C,1.168,3.544
26,ERY,11C,0.907,3.726
27,ERY,11C,1.02,3.177
28,ERY,11C,0.968,3.766
29,ERY,11C,0.979,3.581
30,ERY,11C,0.986,3.259
31,ERY,11C,0.809,3.54
32,ERY,11C,0.879,2.808
33,ERY,11C,0.927,2.939
34,ERY,11C,1.239,2.85
36,ERY,11C,1.044,3.245
37,ERY,11C,0.937,2.923
38,ERY,11C,0.888,3.627
39,ERY,11C,0.95,3.027
40,ERY,11C,0.876,2.711
41,ERY,11C,0.93,3.8
42,ERY,11C,0.976,3.138
43,ERY,11C,0.953,2.519
44,ERY,11C,1.106,3.365
45,ERY,11C,0.847,3.38
46,ERY,11C,0.906,2.523
47,ERY,11C,0.963,3.548
48,ERY,11C,0.96,2.829
